Date,mean_TW
12/4/2011,4.377298264
12/5/2011,4.294236806
12/6/2011,4.19425
12/7/2011,4.013188542
12/8/2011,4.020915972
12/9/2011,3.963598611
12/10/2011,3.894097222
12/11/2011,3.825938542
12/12/2011,3.663876389
12/13/2011,3.599029861
12/14/2011,3.505808333
12/15/2011,3.524914236
12/16/2011,3.415715625
12/17/2011,4.893245833
12/18/2011,4.852213542
12/19/2011,4.7
12/20/2011,4.7
12/21/2011,4.6
12/22/2011,4.5
12/23/2011,4.6
12/24/2011,4.5
12/25/2011,4.5
12/26/2011,4.4
12/27/2011,4.4
12/28/2011,4.4
12/29/2011,4.3
12/30/2011,4.3
12/31/2011,4.3
1/1/2012,4.3
1/2/2012,4.3
1/3/2012,4.3
1/4/2012,4.3
1/5/2012,4.3
1/6/2012,4.2
1/7/2012,4.2
1/8/2012,4.1
1/9/2012,4
1/10/2012,4
1/11/2012,4
1/12/2012,4
1/13/2012,4
1/14/2012,3.9
1/15/2012,3.9
1/16/2012,3.8
1/17/2012,3.9
1/18/2012,3.9
1/19/2012,3.8
1/20/2012,3.7
1/21/2012,3.7
1/22/2012,3.7
1/23/2012,3.5
1/24/2012,3.6
1/25/2012,3.6
1/26/2012,3.6
1/27/2012,3.5
1/28/2012,3.5
1/29/2012,3.4
1/30/2012,3.3
1/31/2012,3.3
2/1/2012,3.4
2/2/2012,3.3
2/3/2012,3.3
2/4/2012,3.2
2/5/2012,3.2
2/6/2012,3.3
2/7/2012,3.2
2/8/2012,3.2
2/9/2012,3.2
2/10/2012,3.1
2/11/2012,3
2/12/2012,2.9
2/13/2012,2.9
2/14/2012,3
2/15/2012,3
2/16/2012,3
2/17/2012,3.1
2/18/2012,3.2
2/19/2012,3.1
2/20/2012,3.2
2/21/2012,3.2
2/22/2012,3.3
2/23/2012,3.229486667
2/24/2012,3.258002431
2/25/2012,3.237895833
2/26/2012,3.236090972
2/27/2012,3.168026736
2/28/2012,3.094849306
3/1/2012,3.087127431
3/2/2012,3.039543403
3/3/2012,2.985092361
3/4/2012,3.026367708
3/5/2012,3.064944097
3/6/2012,3.083609028
3/7/2012,3.026551389
3/8/2012,2.955279167
3/9/2012,2.983291667
3/10/2012,2.990179861
3/11/2012,2.996937153
3/12/2012,3.044933681
3/13/2012,3.085714583
3/14/2012,3.081478819
3/15/2012,3.093617361
3/16/2012,3.083257292
3/17/2012,3.092517014
3/18/2012,3.023773264
3/19/2012,3.047307986
3/20/2012,3.062307986
3/21/2012,3.062898958
3/22/2012,3.083351042
3/23/2012,3.109781597
3/24/2012,3.108921528
3/25/2012,3.161042014
3/26/2012,3.225916667
3/27/2012,3.316255208
3/28/2012,3.334967361
3/29/2012,3.397245139
3/30/2012,3.431283333
3/31/2012,3.455972569
4/1/2012,3.44096875
4/2/2012,3.423922917
4/3/2012,3.508018056
4/4/2012,3.568331597
4/5/2012,3.587283681
4/6/2012,3.631132292
4/7/2012,3.691135069
4/8/2012,3.730799306
4/9/2012,3.803636111
4/10/2012,3.90945
4/11/2012,4.042849306
4/12/2012,4.125018403
4/13/2012,4.173957986
4/14/2012,4.194399306
4/15/2012,4.258268056
4/16/2012,4.215341319
4/17/2012,4.359827778
4/18/2012,4.334721528
4/19/2012,4.478021875
4/20/2012,4.4142625
4/21/2012,4.346016667
4/22/2012,4.469769792
4/23/2012,4.471813194
4/24/2012,4.460820833
4/25/2012,4.521011806
4/26/2012,4.601665972
4/27/2012,4.539247569
4/28/2012,4.429401042
4/29/2012,4.48359375
4/30/2012,4.526045486
5/1/2012,4.433256944
5/2/2012,4.495754861
5/3/2012,4.535511806
5/4/2012,4.529025347
5/5/2012,4.436800694
5/6/2012,4.494984375
5/7/2012,4.599158333
5/8/2012,4.528714236
5/9/2012,4.510232986
5/10/2012,4.580757639
5/11/2012,4.648845833
5/12/2012,4.687180556
5/13/2012,4.705900694
5/14/2012,4.789880903
5/15/2012,4.862654514
5/16/2012,4.944595139
5/17/2012,5.036293403
5/18/2012,5.050962847
5/19/2012,5.145007986
5/20/2012,5.125466319
5/21/2012,5.146304861
5/22/2012,5.164070139
5/23/2012,5.319026042
5/24/2012,5.317028125
5/25/2012,5.289706597
5/26/2012,5.393910417
5/27/2012,5.331025
5/28/2012,5.396944097
5/29/2012,5.392964236
5/30/2012,5.353775694
5/31/2012,5.369464583
6/1/2012,5.346973264
6/2/2012,5.400787847
6/3/2012,5.379576042
6/4/2012,5.432535417
6/5/2012,5.41856875
6/6/2012,5.493886458
6/7/2012,5.473872222
6/8/2012,5.483717708
6/9/2012,5.568615625
6/10/2012,5.530074653
6/11/2012,5.571632986
6/12/2012,5.510153125
6/13/2012,5.52955
6/14/2012,5.549433681
6/15/2012,5.562946875
6/16/2012,5.549311111
6/17/2012,5.598703819
6/18/2012,5.645584722
6/19/2012,5.635536458
6/20/2012,5.615000694
6/21/2012,5.635878472
6/22/2012,5.678002083
6/23/2012,5.673871181
6/24/2012,5.678236111
6/25/2012,5.668943403
6/26/2012,5.735568403
6/27/2012,5.771917708
6/28/2012,5.790611458
6/29/2012,5.772375
6/30/2012,5.808997569
7/1/2012,5.805239931
7/2/2012,5.777370833
7/3/2012,5.841353472
7/4/2012,5.810250347
7/5/2012,5.812884375
7/6/2012,5.844982292
7/7/2012,5.928586806
7/8/2012,5.968172917
7/9/2012,5.988317014
7/10/2012,6.041023958
7/11/2012,6.034374306
7/12/2012,6.064750347
7/13/2012,6.101579167
7/14/2012,6.127521875
7/15/2012,6.147383681
7/16/2012,6.161029167
7/17/2012,6.166121875
7/18/2012,6.180650347
7/19/2012,6.190138194
7/20/2012,6.200429167
7/21/2012,6.214517014
7/22/2012,6.231849306
7/23/2012,6.247233681
7/24/2012,6.282663889
7/25/2012,6.286395486
7/26/2012,6.305674653
7/27/2012,6.328059722
7/28/2012,6.339197569
7/29/2012,6.357728472
7/30/2012,6.378861806
7/31/2012,6.428783333
8/1/2012,6.404269792
8/2/2012,6.433556597
8/3/2012,6.451608681
8/4/2012,6.448555208
8/5/2012,6.487944444
8/6/2012,6.484489236
8/7/2012,6.513016319
8/8/2012,6.528926042
8/9/2012,6.540036806
8/10/2012,6.558783681
8/11/2012,6.591739583
8/12/2012,6.613213194
8/13/2012,6.615092361
8/14/2012,6.608989931
8/15/2012,6.647961458
8/16/2012,6.653811111
8/17/2012,6.684128125
8/18/2012,6.68275
8/19/2012,6.682885069
8/20/2012,6.707343403
8/21/2012,6.735201389
8/22/2012,6.713263194
8/23/2012,6.729648264
8/24/2012,7.108513889
8/25/2012,7.147540625
8/26/2012,7.174921181
8/27/2012,7.1917625
8/28/2012,7.221547569
8/29/2012,7.220220486
8/30/2012,7.292972222
8/31/2012,7.230136111
9/1/2012,7.274724653
9/2/2012,7.343366319
9/3/2012,7.321358681
9/4/2012,7.331817708
9/5/2012,7.385905903
9/6/2012,7.400102431
9/7/2012,7.418377778
9/8/2012,7.4698
9/9/2012,7.537107986
9/10/2012,7.536670833
9/11/2012,7.582217708
9/12/2012,7.840303125
9/13/2012,7.877172569
9/14/2012,7.941876736
9/15/2012,7.963244444
9/16/2012,8.062364931
9/17/2012,8.078071181
9/18/2012,8.062584375
9/19/2012,8.173256597
9/20/2012,8.237557986
9/21/2012,8.269236806
9/22/2012,8.317049306
9/23/2012,8.371562847
9/24/2012,10.07709549
9/25/2012,10.1019691
9/26/2012,10.36927257
9/27/2012,10.33720451
9/28/2012,10.49157535
9/29/2012,10.34182188
9/30/2012,10.67924097
10/1/2012,10.66323472
10/2/2012,10.66829444
10/3/2012,10.91572604
10/4/2012,11.03125382
10/5/2012,11.11065174
10/6/2012,11.21101424
10/7/2012,11.19000694
10/8/2012,11.22863507
10/9/2012,11.18151215
10/10/2012,11.16701146
10/11/2012,11.2273441
10/12/2012,11.29007917
10/13/2012,11.32177396
10/14/2012,11.59024757
10/15/2012,11.03446319
10/16/2012,10.60081632
10/17/2012,10.35566701
10/18/2012,10.29443264
10/19/2012,10.02871215
10/20/2012,9.807541667
10/21/2012,9.563954861
10/22/2012,9.299429861
10/23/2012,8.992774306
10/24/2012,8.8996
10/25/2012,8.654264583
10/26/2012,8.6560875
10/27/2012,8.484625
10/28/2012,8.422527431
10/29/2012,8.197027083
10/30/2012,8.079449653
10/31/2012,8.014495833
11/1/2012,8.026722917
11/2/2012,7.992172569
11/3/2012,8.006252778
11/4/2012,8.029113043
11/5/2012,8.046258681
11/6/2012,8.070888889
11/7/2012,7.964138542
11/8/2012,8.012879167
11/9/2012,7.961859028
11/10/2012,7.720308333
11/11/2012,7.563884028
11/12/2012,7.474305208
11/13/2012,7.142228472
11/14/2012,6.843475347
11/15/2012,6.728990972
11/16/2012,6.605945139
11/17/2012,6.54228125
11/18/2012,6.599326389
11/19/2012,6.453686806
11/20/2012,6.259268056
11/21/2012,6.227935764
11/22/2012,6.258301389
11/23/2012,6.221338194
11/24/2012,6.087256597
11/25/2012,5.981875347
11/26/2012,5.972400694
11/27/2012,5.846640625
11/28/2012,5.767393056
11/29/2012,5.747682986
11/30/2012,5.513504167
12/1/2012,5.475453472
12/2/2012,5.489114931
12/3/2012,5.458009722
12/4/2012,5.421581597
12/5/2012,5.394174653
12/6/2012,5.403969792
12/7/2012,5.372733333
12/8/2012,5.286147569
12/9/2012,5.221220139
12/10/2012,5.176230556
12/11/2012,5.151585069
12/12/2012,5.089336806
12/13/2012,5.042404167
12/14/2012,5.01155
12/15/2012,4.959357986
12/16/2012,4.880508681
12/17/2012,4.776210069
12/18/2012,4.701840625
12/19/2012,4.646186111
12/20/2012,4.575814931
12/21/2012,4.515543403
12/22/2012,4.443910764
12/23/2012,4.379735069
12/24/2012,4.348970833
12/25/2012,4.298371181
12/26/2012,4.210740972
12/27/2012,4.174252431
12/28/2012,4.089834028
12/29/2012,4.124065625
12/30/2012,4.047604167
12/31/2012,4.033134028
1/1/2013,3.916613194
1/2/2013,3.8771125
1/3/2013,3.803120486
1/4/2013,3.741566667
1/5/2013,3.720260069
1/6/2013,3.736267361
1/7/2013,3.713726389
1/8/2013,3.681591319
1/9/2013,3.642690972
1/10/2013,3.644883333
1/11/2013,3.538613542
1/12/2013,3.334519792
1/13/2013,3.223358333
1/14/2013,3.19119375
1/15/2013,3.223120833
1/16/2013,3.249895833
1/17/2013,3.209921528
1/18/2013,3.1685625
1/19/2013,3.264638889
1/20/2013,3.237473611
1/21/2013,3.190072222
1/22/2013,3.234614236
1/23/2013,3.064822222
1/24/2013,3.009145486
1/25/2013,2.612348958
1/26/2013,2.623120833
1/27/2013,2.770917361
1/28/2013,2.831116319
1/29/2013,2.863828819
1/30/2013,2.744022917
1/31/2013,2.753475347
2/1/2013,2.717805903
2/2/2013,2.750082292
2/3/2013,2.815469097
2/4/2013,2.872050694
2/5/2013,2.847271181
2/6/2013,2.911970486
2/7/2013,2.946261806
2/8/2013,2.931025694
2/9/2013,2.924214931
2/10/2013,2.988139583
2/11/2013,2.994213542
2/12/2013,3.025274306
2/13/2013,3.037047222
2/14/2013,3.069809028
2/15/2013,3.101552431
2/16/2013,3.14148125
2/17/2013,3.195736458
2/18/2013,3.202867361
2/19/2013,3.200362153
2/20/2013,3.238076389
2/21/2013,3.238561806
2/22/2013,3.217761458
2/23/2013,3.235659722
2/24/2013,3.224720139
2/25/2013,3.233970486
2/26/2013,3.190567014
2/27/2013,3.157711806
2/28/2013,3.160078819
3/1/2013,3.174158681
3/2/2013,3.174328472
3/3/2013,3.037071181
3/4/2013,2.918338194
3/5/2013,2.946432986
3/6/2013,2.999233681
3/7/2013,3.087938194
3/8/2013,3.108531597
3/9/2013,3.131267708
3/10/2013,3.187502431
3/11/2013,3.230126042
3/12/2013,3.249957986
3/13/2013,3.3207625
3/14/2013,3.397326736
3/15/2013,3.404610069
3/16/2013,3.444080903
3/17/2013,3.491978472
3/18/2013,3.594345486
3/19/2013,3.598221528
3/20/2013,3.633448264
3/21/2013,3.68505
3/22/2013,3.676752083
3/23/2013,3.663693056
3/24/2013,3.671882292
3/25/2013,3.717388194
3/26/2013,3.802158681
3/27/2013,3.871296181
3/28/2013,3.958489583
3/29/2013,4.072575347
3/30/2013,4.199169444
3/31/2013,4.378807986
4/1/2013,4.521343056
4/2/2013,4.421585069
4/3/2013,4.503203819
4/4/2013,4.624324653
4/5/2013,4.511951736
4/6/2013,4.467023611
4/7/2013,4.486102083
4/8/2013,4.433743056
4/9/2013,4.428918403
4/10/2013,4.529886806
4/11/2013,4.377522222
4/12/2013,4.491019444
4/13/2013,4.624223611
4/14/2013,4.5473375
4/15/2013,4.503439583
4/16/2013,4.618127431
4/17/2013,4.590136806
4/18/2013,4.514833333
4/19/2013,4.594809028
4/20/2013,4.592819444
4/21/2013,4.674985764
4/22/2013,4.884909028
4/23/2013,4.773192361
4/24/2013,4.820912153
4/25/2013,4.76456875
4/26/2013,4.830486111
4/27/2013,4.849173264
4/28/2013,4.894747917
4/29/2013,4.986121875
4/30/2013,4.899992014
5/1/2013,4.921068056
5/2/2013,4.910572569
5/3/2013,4.929725347
5/4/2013,4.971893056
5/5/2013,5.024223264
5/6/2013,5.121493056
5/7/2013,5.190342361
5/8/2013,5.289561458
5/9/2013,5.283856944
5/10/2013,5.315906597
5/11/2013,5.364019444
5/12/2013,5.417533681
5/13/2013,5.481513542
5/14/2013,5.542142708
5/15/2013,5.502458333
5/16/2013,5.581771875
5/17/2013,5.511792014
5/18/2013,5.575628819
5/19/2013,5.548396181
5/20/2013,5.564665278
5/21/2013,5.609898264
5/22/2013,5.550572569
5/23/2013,5.621332986
5/24/2013,5.593396875
