date,SWC,wyr
1/21/2023,418548.0173,2022-23
1/22/2023,416414.3875,2022-23
1/23/2023,413733.2076,2022-23
1/24/2023,411536.1488,2022-23
1/25/2023,409871.8408,2022-23
1/26/2023,408084.346,2022-23
1/27/2023,406960.6574,2022-23
1/28/2023,405579.4706,2022-23
1/29/2023,403688.3426,2022-23
1/30/2023,401920.7889,2022-23
1/31/2023,400259.7336,2022-23
2/1/2023,398731.9965,2022-23
2/2/2023,397280.9343,2022-23
2/3/2023,395980.2976,2022-23
2/4/2023,399798.3702,2022-23
2/5/2023,403855.526,2022-23
2/6/2023,404139.8304,2022-23
2/7/2023,411238.4533,2022-23
2/8/2023,413853.4671,2022-23
2/9/2023,412847.2734,2022-23
2/10/2023,414900.1419,2022-23
2/11/2023,415443.7336,2022-23
2/12/2023,414283.3391,2022-23
2/13/2023,415480.1696,2022-23
2/14/2023,414465.8962,2022-23
2/15/2023,412984.474,2022-23
2/16/2023,411595.7509,2022-23
2/17/2023,410738.9066,2022-23
2/18/2023,410022.6055,2022-23
2/19/2023,409662.0138,2022-23
2/20/2023,409455.5882,2022-23
2/21/2023,412455.5329,2022-23
2/22/2023,411793.1107,2022-23
2/23/2023,410372.9931,2022-23
2/24/2023,408977.692,2022-23
2/25/2023,407629.3391,2022-23
2/26/2023,406318.4879,2022-23
2/27/2023,404998.7889,2022-23
2/28/2023,403708.2907,2022-23
3/1/2023,402458.782,2022-23
3/2/2023,401480.692,2022-23
3/3/2023,400433.8858,2022-23
3/4/2023,399440.7128,2022-23
3/5/2023,398405.391,2022-23
3/6/2023,397333.5087,2022-23
3/7/2023,396315.8824,2022-23
3/8/2023,395330.9689,2022-23
3/9/2023,394464.6886,2022-23
3/10/2023,393649.5709,2022-23
3/11/2023,393117.7336,2022-23
3/12/2023,393362.1488,2022-23
3/13/2023,396536.6021,2022-23
3/14/2023,397667.1107,2022-23
3/15/2023,397134.7439,2022-23
3/16/2023,396469.8547,2022-23
3/17/2023,395928.301,2022-23
3/18/2023,395572.1142,2022-23
3/19/2023,396378.3495,2022-23
3/20/2023,398245.3287,2022-23
3/21/2023,400372.3564,2022-23
3/22/2023,402075.1349,2022-23
3/23/2023,402607.9239,2022-23
