DATETIME,DATE,TIME,TMP,DPT,RH,WS,WD,APCP,CLOUD,SLP,PTYPE,RQP,SQP,FQP,IQP,WS925,WD925,TMP850,WS850,WD850,WS700,WD700
11/11/2023 1:00,11/11/2023,1:00,7.5,7.3,99,13,200,118.4,92,1005.3,RA,116.6,1.8,0,0,49,200,2,66,231,96,245
11/11/2023 4:00,11/11/2023,4:00,7.4,6.6,95,3,187,121.1,92,1006.6,RA,119.4,1.8,0,0,28,230,-0.8,43,240,81,259
11/11/2023 7:00,11/11/2023,7:00,6.6,5.8,95,4,243,124.9,88,1009.2,RA,123.1,1.8,0,0,27,240,-1.1,39,245,73,259
11/11/2023 10:00,11/11/2023,10:00,7.3,5.5,88,13,217,128.1,92,1011.3,RA,126.4,1.8,0,0,48,226,-1,60,233,81,257
11/11/2023 13:00,11/11/2023,13:00,8.1,4.4,77,6,222,129.4,92,1013.3,RA,127.6,1.8,0,0,26,242,-1.4,36,248,100,250
11/11/2023 16:00,11/11/2023,16:00,6.8,6.5,98,3,169,134.4,92,1012.9,RA,132.7,1.8,0,0,24,217,-0.5,35,232,69,241
11/11/2023 19:00,11/11/2023,19:00,7.4,6.9,97,14,184,141.9,88,1011.9,RA,140.2,1.8,0,0,47,202,0.4,60,212,85,239
11/11/2023 22:00,11/11/2023,22:00,6.6,5.6,93,5,262,148.9,36,1013.5,RA,147.1,1.8,0,0,28,247,-1.9,39,250,84,252
11/12/2023 1:00,11/12/2023,1:00,5.2,3.7,90,1,57,148.9,32,1016.3,,147.2,1.8,0,0,13,255,-3.1,18,264,53,258
11/12/2023 4:00,11/12/2023,4:00,4.9,3.8,93,6,57,148.9,44,1018.1,,147.2,1.8,0,0,5,190,-3.6,4,193,42,258
11/12/2023 7:00,11/12/2023,7:00,4.5,3.4,93,6,51,148.9,24,1018.9,,147.2,1.8,0,0,8,114,-2.6,11,165,36,254
11/12/2023 10:00,11/12/2023,10:00,6,3.9,86,5,63,148.9,48,1019.7,,147.2,1.8,0,0,13,105,-2,9,153,40,248
11/12/2023 13:00,11/12/2023,13:00,7.3,3.5,77,4,58,148.9,92,1018,,147.2,1.8,0,0,16,85,-0.5,22,119,41,233
11/12/2023 16:00,11/12/2023,16:00,6.9,3.4,78,6,38,148.9,92,1016.5,,147.2,1.8,0,0,21,78,0.3,26,125,33,181
11/12/2023 19:00,11/12/2023,19:00,6.4,3.4,81,10,32,149,76,1014.6,RA,147.3,1.8,0,0,24,85,2.1,40,146,26,199
11/12/2023 22:00,11/12/2023,22:00,6.9,5,88,12,32,149.4,92,1013.6,RA,147.7,1.8,0,0,31,86,1.5,45,119,48,196
11/13/2023 1:00,11/13/2023,1:00,7.4,5.5,88,12,26,150,92,1011.8,RA,148.3,1.8,0,0,28,82,4.8,41,129,88,208
11/13/2023 4:00,11/13/2023,4:00,7.3,5.1,86,5,21,150,88,1011.8,,148.3,1.8,0,0,16,84,6.7,33,122,62,196
11/13/2023 7:00,11/13/2023,7:00,7,4.8,86,6,34,150,68,1012.2,,148.3,1.8,0,0,15,95,7.5,32,131,56,196
11/13/2023 10:00,11/13/2023,10:00,8.9,6,82,3,13,150,24,1014.8,,148.3,1.8,0,0,8,89,6.4,25,151,51,183
11/13/2023 13:00,11/13/2023,13:00,11.5,8.8,83,1,168,150,36,1014.8,,148.3,1.8,0,0,11,93,6.5,17,160,47,180
11/13/2023 16:00,11/13/2023,16:00,10.3,9.3,94,2,343,150,32,1014.9,,148.3,1.8,0,0,11,86,7,21,137,37,182
11/13/2023 19:00,11/13/2023,19:00,8.8,6.2,84,6,29,150,24,1015.5,,148.3,1.8,0,0,9,73,8,26,124,40,173
11/13/2023 22:00,11/13/2023,22:00,7.6,3.9,77,7,32,150,12,1016.8,,148.3,1.8,0,0,9,116,8.8,27,123,46,171
11/14/2023 1:00,11/14/2023,1:00,7.8,3.3,73,7,25,150,76,1017.6,,148.3,1.8,0,0,10,109,8.3,25,141,43,188
11/14/2023 4:00,11/14/2023,4:00,7.3,3.3,76,5,31,150,36,1017.5,,148.3,1.8,0,0,6,74,8.5,24,140,41,192
11/14/2023 7:00,11/14/2023,7:00,6.7,3,77,5,38,150,0,1016.1,,148.3,1.8,0,0,8,75,8.9,26,126,41,173
11/14/2023 10:00,11/14/2023,10:00,8.4,4.3,75,1,52,150,44,1015.6,,148.3,1.8,0,0,7,91,9.5,31,112,55,167
11/14/2023 13:00,11/14/2023,13:00,10.2,6.5,78,4,52,150,80,1014.4,,148.3,1.8,0,0,21,108,7.4,46,152,53,155
11/14/2023 16:00,11/14/2023,16:00,10.5,7.9,84,3,10,150.1,88,1011.2,,148.3,1.8,0,0,20,86,7.5,39,141,35,173
11/14/2023 19:00,11/14/2023,19:00,9.9,7.4,84,10,4,150.1,80,1008.8,,148.4,1.8,0,0,20,44,6.4,36,94,87,166
11/14/2023 22:00,11/14/2023,22:00,9.5,6.9,84,3,27,150.1,92,1007,,148.4,1.8,0,0,13,98,9.6,37,130,76,155
11/15/2023 1:00,11/15/2023,1:00,10.6,6.5,76,7,16,150.1,92,1004.8,,148.4,1.8,0,0,24,122,8.3,31,137,81,160
11/15/2023 4:00,11/15/2023,4:00,11.2,6.9,75,9,22,150.1,92,1005.5,,148.4,1.8,0,0,22,144,6.7,37,154,77,159
11/15/2023 7:00,11/15/2023,7:00,11.8,6.8,71,11,63,150.3,92,1007.3,RA,148.5,1.8,0,0,40,125,5,47,137,71,176
11/15/2023 10:00,11/15/2023,10:00,11.1,7.7,80,9,56,150.5,92,1009.4,RA,148.7,1.8,0,0,35,115,3.4,48,134,66,183
11/15/2023 13:00,11/15/2023,13:00,10.3,8.5,89,5,56,151.8,92,1011.2,RA,150,1.8,0,0,29,135,2.8,49,156,53,197
11/15/2023 16:00,11/15/2023,16:00,9.7,8.9,95,6,19,155.1,92,1012.8,RA,153.3,1.8,0,0,16,120,2.2,39,154,45,195
11/15/2023 19:00,11/15/2023,19:00,9.7,8.5,92,8,45,155.8,92,1014.2,RA,154.1,1.8,0,0,21,118,2.8,29,141,40,191
11/15/2023 22:00,11/15/2023,22:00,8.8,7.4,91,7,23,155.8,0,1014.6,,154.1,1.8,0,0,14,99,3.7,26,152,33,193
11/16/2023 1:00,11/16/2023,1:00,8.2,6.2,87,7,20,155.8,0,1014.7,,154.1,1.8,0,0,10,76,4.3,18,144,30,192
11/16/2023 4:00,11/16/2023,4:00,8,5.3,83,8,22,155.8,12,1013.6,,154.1,1.8,0,0,13,61,5.8,13,111,26,189
