date,level,year
6/26/2023,140.312,2023
6/27/2023,140.172,2023
6/28/2023,140.038,2023
6/29/2023,139.929,2023
6/30/2023,139.861,2023
7/1/2023,139.827,2023
7/2/2023,139.748,2023
7/3/2023,139.636,2023
7/4/2023,139.509,2023
7/5/2023,139.371,2023
7/6/2023,139.261,2023
7/7/2023,139.125,2023
7/8/2023,138.944,2023
7/9/2023,138.798,2023
7/10/2023,138.645,2023
7/11/2023,138.505,2023
7/12/2023,138.373,2023
7/13/2023,138.228,2023
7/14/2023,138.075,2023
7/15/2023,137.922,2023
7/16/2023,137.769,2023
7/17/2023,137.635,2023
7/18/2023,137.476,2023
7/19/2023,137.323,2023
7/20/2023,137.171,2023
7/21/2023,137.036,2023
7/22/2023,136.868,2023
7/23/2023,136.714,2023
7/24/2023,136.634,2023
7/25/2023,136.545,2023
7/26/2023,136.456,2023
7/27/2023,136.375,2023
7/28/2023,136.29,2023
7/29/2023,136.195,2023
7/30/2023,136.107,2023
7/31/2023,136.017,2023
8/1/2023,135.922,2023
8/2/2023,135.834,2023
8/3/2023,135.762,2023
8/4/2023,135.72,2023
8/5/2023,135.569,2023
8/6/2023,135.568,2023
8/7/2023,135.532,2023
8/8/2023,135.412,2023
8/9/2023,135.302,2023
8/10/2023,135.192,2023
8/11/2023,135.082,2023
8/12/2023,134.972,2023
8/13/2023,134.862,2023
8/14/2023,134.737,2023
8/15/2023,134.612,2023
8/16/2023,134.487,2023
8/17/2023,134.362,2023
8/18/2023,134.237,2023
8/19/2023,134.136,2023
8/20/2023,134.035,2023
8/21/2023,133.934,2023
8/22/2023,133.833,2023
8/23/2023,133.732,2023
8/24/2023,133.631,2023
8/25/2023,133.53,2023
8/26/2023,133.429,2023
8/27/2023,133.328,2023
8/28/2023,133.227,2023
8/29/2023,133.102,2023
8/30/2023,132.977,2023
8/31/2023,132.852,2023
9/1/2023,132.727,2023
9/2/2023,132.602,2023
9/3/2023,132.477,2023
9/4/2023,132.341,2023
9/5/2023,132.205,2023
9/6/2023,132.069,2023
9/7/2023,131.933,2023
9/8/2023,131.797,2023
9/9/2023,131.661,2023
9/10/2023,131.525,2023
9/11/2023,131.413,2023
9/12/2023,131.301,2023
9/13/2023,131.189,2023
9/14/2023,131.077,2023
9/15/2023,130.965,2023
9/16/2023,130.853,2023
9/17/2023,130.755,2023
9/18/2023,130.657,2023
9/19/2023,130.559,2023
9/20/2023,130.461,2023
9/21/2023,130.363,2023
9/22/2023,130.265,2023
9/23/2023,130.167,2023
9/24/2023,130.082,2023
9/25/2023,129.997,2023
9/26/2023,129.912,2023
9/27/2023,129.827,2023
9/28/2023,129.742,2023
9/29/2023,129.657,2023
9/30/2023,129.572,2023
10/1/2023,129.487,2023
10/2/2023,129.402,2023
10/3/2023,129.317,2023
10/4/2023,129.232,2023
10/5/2023,129.147,2023
10/6/2023,129.062,2023
10/7/2023,128.977,2023
10/8/2023,128.892,2023
10/9/2023,128.807,2023
10/10/2023,128.722,2023
10/11/2023,128.637,2023
10/12/2023,128.552,2023
10/13/2023,128.467,2023
10/14/2023,128.382,2023
10/15/2023,128.297,2023
