datetime,DGR,rating
6/13/2016,1,Very Low
6/14/2016,1,Very Low
6/15/2016,1,Very Low
6/16/2016,1,Very Low
6/17/2016,1,Very Low
6/18/2016,1,Very Low
6/19/2016,1,Very Low
6/20/2016,1,Very Low
6/21/2016,1,Very Low
6/22/2016,2,Low
6/23/2016,1,Very Low
6/24/2016,1,Very Low
6/25/2016,1,Very Low
6/26/2016,2,Low
6/27/2016,2,Low
6/28/2016,2,Low
6/29/2016,3,Moderate
6/30/2016,2,Low
7/1/2016,2,Low
7/2/2016,3,Moderate
7/3/2016,3,Moderate
7/4/2016,2,Low
7/5/2016,2,Low
7/6/2016,2,Low
7/7/2016,2,Low
7/8/2016,1,Very Low
7/9/2016,1,Very Low
7/10/2016,1,Very Low
7/11/2016,1,Very Low
7/12/2016,1,Very Low
7/13/2016,1,Very Low
7/14/2016,1,Very Low
7/15/2016,1,Very Low
7/16/2016,1,Very Low
7/17/2016,2,Low
7/18/2016,1,Very Low
7/19/2016,1,Very Low
7/20/2016,1,Very Low
7/21/2016,2,Low
7/22/2016,2,Low
7/23/2016,2,Low
7/24/2016,2,Low
7/25/2016,3,Moderate
7/26/2016,3,Moderate
7/27/2016,3,Moderate
7/28/2016,3,Moderate
7/29/2016,3,Moderate
7/30/2016,3,Moderate
7/31/2016,2,Low
8/1/2016,3,Moderate
8/2/2016,2,Low
8/3/2016,2,Low
8/4/2016,2,Low
8/5/2016,3,Moderate
8/6/2016,3,Moderate
8/7/2016,2,Low
8/8/2016,2,Low
8/9/2016,2,Low
8/10/2016,3,Moderate
8/11/2016,3,Moderate
8/12/2016,3,Moderate
8/13/2016,3,Moderate
8/14/2016,3,Moderate
8/15/2016,3,Moderate
8/16/2016,4,High
8/17/2016,4,High
8/18/2016,4,High
8/19/2016,5,Extreme
8/20/2016,5,Extreme
8/21/2016,4,High
8/22/2016,4,High
8/23/2016,4,High
8/24/2016,4,High
8/25/2016,4,High
8/26/2016,4,High
8/27/2016,4,High
8/28/2016,4,High
8/29/2016,4,High
8/30/2016,4,High
8/31/2016,2,Low
9/1/2016,2,Low
9/2/2016,1,Very Low
9/3/2016,1,Very Low
9/4/2016,1,Very Low
9/5/2016,1,Very Low
9/6/2016,1,Very Low
9/7/2016,1,Very Low
9/8/2016,1,Very Low
9/9/2016,1,Very Low
9/10/2016,2,Low
9/11/2016,2,Low
9/12/2016,2,Low
9/13/2016,3,Moderate
9/14/2016,3,Moderate
9/15/2016,3,Moderate
9/16/2016,3,Moderate
9/17/2016,1,Very Low
9/18/2016,1,Very Low
9/19/2016,1,Very Low
9/20/2016,1,Very Low
9/21/2016,2,Low
